y_true,y_pre
6080.036,4983.2533166826925
15301.312,15240.94674702779
25438.624,17544.098863442145
14843.723999999998,17194.966345959663
12586.444,14166.28482840224
13175.06,17854.922399646035
15137.056,16593.315194280738
46180.38,46892.65390895816
53122.508,48550.10317775627
47807.172,47368.12131508199
25215.176,19232.23268985877
14277.812,16788.86615090876
6197.556,6715.127623169222
7223.76,6371.509368065809
12937.768,13730.15466463297
19200.58,16061.293962476173
21064.076,15235.647353692415
12214.052,17383.764934762876
11755.336000000001,15783.654341498243
8964.931999999999,14036.967876945371
7109.828,7022.927881412141
26921.08,12226.781002502656
23480.82,21349.864418236706
12907.568000000001,19220.946660794812
12920.32,16475.581309184287
12653.208,16656.85870032494
7238.2919999999995,8168.970407211257
40815.684,47022.86514089413
16196.74,17202.41212046681
26066.023999999998,22048.089219365407
12482.408000000001,18256.623274707308
20768.956000000002,17330.144358327518
47939.684,48599.96447971628
18632.56,19779.561902496345
10736.268,18715.276840560444
23124.872000000003,15539.924278962259
13756.216,17710.638705069774
32204.807999999997,20150.38897517053
15256.964,17710.638705069774
49450.824,53684.681378693975
34707.836,22290.964716945324
58889.4,48132.82134751289
23362.636000000002,18650.9309663795
5865.504,9420.184791506992
25244.343999999997,16074.727655567063
6899.312,8709.195828179028
17131.832,16780.78063326555
3593.1679999999997,8608.930726668896
4407.036,5270.013292614985
3492.192,5085.950730020562
3474.7,7801.743326918777
3610.7,7215.4467984345865
7895.092,8255.521122716278
17051.944,16314.469642522345
12506.896,15425.682902191522
5412.232,7227.201503541334
4202.304,6062.20155136104
8420.416,7116.186982664657
15958.788,15136.37340599673
13153.503999999999,16872.686333266975
9613.056,14070.148795804183
5465.052,6426.394825226073
6552.64,6159.689403077643
14882.136,16209.100614578547
12408.392,13644.033081242782
10543.756000000001,11645.953393413618
11654.332,16174.994183815688
8204.224,8311.972757614487
10605.948,12782.754760853388
4627.335999999999,6854.614435386134
8677.164,7016.245644816244
6588.991999999999,7328.972967014462
8518.496,7224.961600090017
47109.28400000001,42361.47749413303
9675.856,16539.089025411246
5757.804,6042.588018395289
4265.804,6097.187368272795
7344.88,7623.327854567869
8618.64,8389.50563021307
9189.868,15446.72022215998
9645.336,11999.001117310905
6217.0,7748.959599509219
10003.24,13200.758057364837
14433.596000000001,13900.25430036179
7683.308000000001,7350.315399066495
7446.884,7613.265488750372
14738.488000000001,13476.251127501526
8681.572,7578.96005419996
6811.784000000001,8593.17806723229
3906.784,7418.098513302937
7655.204000000001,5375.7704536065285
9773.908000000001,13535.481831422117
25863.212000000003,13186.941629709558
8445.996,8382.261573239932
4492.12,7137.029700844829
37946.18,16367.694380981906
21909.972,14594.914343893213
10866.452,14153.146339053023
7748.2080000000005,8555.261838779828
35460.824,13044.708071493693
12937.368,14763.460208938657
16160.143999999998,14666.798234463113
10726.303999999998,15159.633759183685
56661.18,44744.00947534166
12395.7,15802.953341984807
18232.908,14490.816660941762
10646.563999999998,12538.31047240852
6860.7519999999995,7578.716476824152
17044.872,11254.915923522494
7847.94,7399.481122294985
12978.1,11088.96905335037
26118.712000000003,10918.155605231546
7346.668000000001,6933.239574375101
7592.964,7323.788353191873
7053.64,7289.884768811457
6597.628000000001,6907.31042000002
12384.548,13405.393589052079
5859.6759999999995,6074.294799627622
4715.484,6858.197282430271
8955.431999999999,10945.38803342458
16162.223999999998,13174.605427472725
16676.696,14238.851640893616
12746.823999999999,13021.818102284707
7652.54,7879.924338610038
15268.372,13549.668348629973
4956.464,6961.109913930418
10119.148000000001,12829.84171196412
13010.716,13987.244329599176
9543.732,13908.98451935195
10549.34,12280.161842580166
2304.448,7611.178502763411
5689.7,6074.241471615175
1713.628,6026.841475027643
10839.768,12599.705514992782
15322.076000000001,12368.461438228194
12622.832,12770.642615528279
13270.184,12033.231055507738
10522.188,12070.728850952859
6912.684,7153.347625507785
5443.852,5597.888450660093
13893.968,10807.390317644547
19823.22,12833.146913190414
5549.1,9168.82471143831
6685.2,7180.93735058567
8136.6,7238.861943355906
4856.9,5669.471819078391
2992.3,4353.372243318174
21914.136000000002,12427.864291823902
11032.192,14344.464817370483
10642.196000000002,12710.315363506857
12220.572,15053.058486868313
